trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.3300735751994827}",25,3,-30.83448378676149,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.32743298659788683}",35,0,27.145039317262338,"{0: 32, 1: 2, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.3248135227051037}",20,11,-13.59821536326468,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.3222150145234629}",25,20,8.278611618497745,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.3196372944072752}",20,5,-27.564318761201495,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.317080196052017}",25,14,15.43916921089576,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.31454355448360083}",20,0,-2.279846691122487,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.31202720604773204}",20,7,-9.45370730969628,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.30953098839935017}",30,0,-33.24482902724807,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.30705474049215536}",25,11,-23.299676896560747,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.3045983025682181}",20,2,-96.87632255588434,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
149,False,"{'a': 0.5, 'e': 0.3021615161476724}",30,19,5.4225482477165485,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.299744224018491}",25,0,28.236395313020314,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.2973462702263431}",25,0,-64.54659414746803,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.2949675000645323}",20,0,-25.382805787499034,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.29260776006401606}",20,0,-51.66955915136565,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.2902668979835039}",30,18,20.53696106304356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2879447627996359}",20,10,-30.033910588471056,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.2856412046972388}",20,8,9.210393066454117,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2833560750596609}",20,10,-22.653128736151896,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.2810892264591836}",30,0,1.010427582910797,"{0: 26, 1: 3, 2: 0, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.27884051264751014}",20,13,11.224352331520407,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.27660978854633006}",20,0,-27.801964598118506,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.2743969102379594}",25,7,5.683367326768624,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.27220173495605576}",25,11,8.15472309390331,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.27002412107640733}",20,5,-3.337668480528678,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.2678639281077961}",25,0,17.514384465271807,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.2657210166829337}",20,9,-32.25426544139568,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.2635952485494702}",20,0,29.453348389432648,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.2614864865610744}",20,0,-71.39551122055742,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.25939459466858583}",25,0,6.395233133578813,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.2573194379112371}",25,0,17.873987425368167,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.25526088240794725}",25,14,-22.5829538279799,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.2532187953486837}",20,11,14.603909942148178,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.25119304498589423}",20,13,-32.266652327586954,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.24918350062600708}",30,17,-8.694793412611567,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.24719003262099903}",25,0,-4.4288730211528975,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.24521251236003103}",35,2,-55.24972111652049,"{0: 28, 1: 0, 2: 2, 3: 2, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.24325081226115078}",20,0,-9.652189600135955,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.24130480576306157}",25,16,7.471823835854458,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.23937436731695708}",25,15,17.755992580591947,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.2374593723784214}",25,5,-41.48215652401703,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.23555969739939403}",30,17,22.639696041000835,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.23367521982019887}",25,2,17.411980842322986,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.23180581806163728}",25,0,38.427251719198814,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.22995137151714418}",20,11,14.770547377720876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
